identifica,xCentroid,yCentroid
"0344100000007495",131965.019,455813.198
"0344100000005723",132514.893,455702.380
"0344100000007502",131706.365,455877.978
"0344100000005724",132520.478,455702.311
"0344100000007941",131253.187,456503.287
"0344100000007019",131871.783,455846.335
"0344100000008446",132063.424,455968.211
"0344100000007511",131317.776,456466.352
"0344100000007039",132585.947,455726.453
"0344100000006113",131293.705,456622.149
"0344100000007037",132479.965,455519.743
"0344100000008882",132239.564,456312.514
"0344100000007040",132591.945,455721.486
"0344100000008472",132559.992,455807.724
"0344100000007985",131929.285,455818.289
"0344100000009345",131276.997,456612.682
"0344100000007991",132139.477,455888.600
"0344100000006145",131838.651,455949.529
"0344100000008918",132180.078,455946.448
"0344100000009355",132835.918,455836.867
"0344100000008919",132660.106,455529.766
"0344100000007561",132684.992,455750.453
"0344100000009890",132116.441,455966.951
"0344100000008514",132747.392,455689.126
"0344100000007564",132456.236,456238.083
"0344100000008016",132788.767,455599.296
"0344100000006660",132162.030,456011.005
"0344100000009472",131635.520,456445.102
"0344100000008018",132768.528,455529.187
"0344100000006639",131369.366,456307.225
"0344100000005809",131285.052,456812.715
"0344100000005804",132311.614,456052.482
"0344100000005805",132311.238,456059.100
"0344100000007574",131583.194,455838.370
"0344100000007579",132710.932,455748.351
"0344100000008944",132476.921,455301.269
"0344100000008948",132759.493,455894.914
"0344100000008954",131411.720,455847.473
"0344100000008039",132749.785,455926.778
"0344100000007103",132827.999,455200.730
"0344100000007104",132822.129,455201.736
"0344100000005814",132264.203,456217.117
"0344100000006664",132897.576,455666.146
"0344100000007117",131574.743,456689.095
"0344100000007118",131563.663,456686.893
"0344100000008558",132408.952,455770.108
"0344100000008560",131174.592,456314.883
"0344100000008566",132796.876,455209.349
"0344100000006199",132430.356,455627.128
"0344100000007128",132561.148,455599.690
"0344100000008068",132201.787,456055.926
"0344100000008572",132585.420,455265.816
"0344100000007612",131294.511,456793.163
"0344100000007136",132773.541,455669.914
"0344100000007137",132773.788,455664.578
"0344100000010340",131245.680,456114.145
"0344100000008987",132493.293,455702.393
"0344100000006218",132668.620,455602.434
"0344100000009893",132096.352,455637.447
"0344100000008083",131308.714,456233.597
"0344100000010419",131267.183,456655.278
"0344100000007631",131220.432,456340.724
"0344100000007159",131632.749,455878.762
"0344100000009461",131808.220,455845.973
"0344100000010350",132227.208,456002.274
"0344100000007178",131629.872,455787.146
"0344100000008100",132560.019,455759.574
"0344100000009471",131635.479,456440.462
"0344100000008108",131997.530,456062.518
"0344100000006251",132943.766,455809.333
"0344100000009034",132764.825,455459.673
"0344100000009470",132752.644,455298.539
"0344100000007186",132310.025,455671.998
"0344100000010370",132617.529,455436.596
"0344100000008115",131305.503,455985.652
"0344100000010382",131967.165,455523.561
"0344100000006268",132455.546,455305.450
"0344100000006269",131280.685,456334.555
"0344100000009491",132190.137,456281.924
"0344100000006282",132710.920,455824.144
"0344100000010392",132270.538,455403.469
"0344100000008136",131209.340,456497.740
"0344100000015567",131308.628,456165.100
"0344100000006766",131247.595,456805.457
"0344100000010407",131731.045,455790.341
"0344100000010400",132254.309,456031.421
"0344100000010401",132253.938,456038.039
"0344100000009519",132747.110,455694.099
"0344100000008158",131996.169,455791.049
"0344100000008159",131997.859,455795.190
"0344100000007243",132710.931,455694.136
"0344100000009986",131314.906,456550.688
